username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Rachel Bell 📚📖,15043860,"Portland, OR",2023-01-16 18:47:51,@ajmedick On my radar: @PubWest annual conf. in Seattle next month - great publishing industry marketing sessions o… https://t.co/K3Ucc9mvJP,0,Twitter Web App,
Top Ten Wave,1157092372498374656,"Portland, OR",2023-01-16 17:42:30,@Rayterrill Oh good. I was worried about how Seattle fans were feeling. Don't want them too sad,0,TweetDeck,
Jesus Mendez,954592131707936769,"Vancouver, WA",2023-01-16 17:34:14,@bhatchFTTB @BleacherReport @NFL I ain’t even a Seattle fan😂💀,0,Twitter for iPhone,
Johnny Wright  🤘🏻🥩🥃,3238424396,"Portland, OR",2023-01-16 17:30:12,@SeattleKraken @ClimateArena @ROOTSPORTS_NW @933KJR @Ticketmaster I really wish ESPN+ would stop blacking out Krake… https://t.co/uEIvQFAxg0,0,Twitter for iPhone,
Salsaknuckles,4746642493,"Vancouver, WA",2023-01-16 17:09:37,"@Seahawks @RipCityRadio620 @GenoSmith3 Geno 0-3 vs the niners, that’s not going to cut it!… Russel Wilson was a win… https://t.co/P7OqNjTscx",0,Twitter for iPhone,
🌼🐐,1478111560287473665,Portland OR,2023-01-16 16:34:43,"hanging out at a restaurant with my roommates, working on a print for a con I'd never end up going to, and being sh… https://t.co/1VtBoHIeGx",0,Twitter for Android,
Cass,1497774093562568705,"Portland, OR",2023-01-16 15:52:34,"@SagED_UP Miami if my only choice. I would imagine San Diego is like Portland and Seattle, cesspools 👍",0,Twitter for iPhone,
Jason Hassler,323118592,"Beaverton, OR",2023-01-16 15:38:56,Yes Seattle fan. The refs gifted you the Rams game just so they could get you in the playoff. Only to see to it SF… https://t.co/e5xqY0D7WM,0,Twitter for iPhone,
Leftoverjoe,1482826875399405568,"Portland, OR",2023-01-16 09:16:53,@Hannibal7777777 Absolutely! One of my favorite bands and I think underappreciated here in the US. I'm in Portland… https://t.co/gVvWIofSkC,0,Twitter for Android,
bluebit,221618436,Portland,2023-01-16 06:38:55,"Had a little bit of time to draw today - so I started on a crab drawing.
.
.
.
.

#instaart #animation… https://t.co/QgzETP5zUm",0,Twitter for iPhone,
