username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Muttdawg509,1511670985312808967,"Spokane, WA",2023-01-16 13:58:49,@RSherman_25 Still rock your Niners jersey on game day when we play against Seattle.,0,Twitter for iPhone,
Tyler Withrow,762489539436826624,"Spokane, WA",2023-01-16 06:22:27,@BDPeacock I hate the dumb💩 Seattle fans the most. Their content creators aren’t any better. Niner fans are truly l… https://t.co/MR1wUmlu7b,0,Twitter for iPhone,
Grace Joins,1597730976817643520,Spokane,2023-01-16 05:28:42,"#TheUnitedStatesofAmerica TheUnitedStatesofAmerica #FreePalestine!!!

Spokane #Spokane #EmeraldCity #Seattle Seattl… https://t.co/wagHSPQP2L",0,Twitter Web App,
tia 🦋,4705690524,"Spokane, WA",2023-01-16 02:06:51,I was really excited for my Seattle trip because I wouldn’t have to hear my upstairs neighbors however our hotel ne… https://t.co/I7ONBqmRAh,0,Twitter for iPhone,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-16 00:22:55,@AlexUngerman @NJBroncoguy84 And you can’t beat Seattle period lol,0,Twitter for iPhone,
Tyler Withrow,762489539436826624,"Spokane, WA",2023-01-15 22:07:43,@JasonAponte2103 Seattle fans can say the same thing. 😂,0,Twitter for iPhone,
Isaac,1144140584187117568,"Spokane, WA",2023-01-15 19:11:28,When we was coming home from Seattle my brutha Steven said it would be dope to make a video in this tunnel so i was… https://t.co/iaxzsM4BlC,0,Twitter for Android,
The Spokesman-Review,3934221,"Spokane, WA",2023-01-15 18:47:30,"An upcoming Northwest Passages event centers on genetic genealogy. “The Forever Witness,” which tells the story of… https://t.co/teBOt84Nj7",0,TweetDeck,
SpāceResists,1206387024,"Spokane, WA",2023-01-15 17:28:25,"@jxhn @ThatEricAlper Shorewood HS. I went to Ingraham, &amp; have a few friends connected to Chris’ family &amp; Soundgarde… https://t.co/0o0KTsoXLx",0,Twitter for iPhone,
Dave Robertson,53474906,"Spokane, WA, USA",2023-01-15 16:47:09,Pre-1870: Eyewitness? account of Chief Seattle’s funeral https://t.co/7kvmWnJQgZ,0,Jetpack.com,
Rick Morris,125881939,"Spokane, WA",2023-01-15 16:10:29,"@49ers I'm a Bears fan, but I thank you for eliminating the one team I HATE with a passion, the Seattle Sea Chickens!",0,Twitter Web App,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-15 16:02:01,@Wkas1111 @Bronco_Hater Seattle beat the Broncos and made the playoffs. We’re still clowning you and will forever,0,Twitter for iPhone,
Ric Meyer,122721074,"Spokane, WA",2023-01-15 15:56:17,@AlTheBoss03 TD Seattle. https://t.co/N35MSBsEx0,0,Twitter for Android,
Muttdawg509,1511670985312808967,"Spokane, WA",2023-01-15 12:40:24,@ObsydianOpinion @EvanHillHB Are all those tears the reason it rains so much in Seattle?,0,Twitter for iPhone,
Tyler Withrow,762489539436826624,"Spokane, WA",2023-01-15 09:20:43,@Ninergirl99 I live in Washington…Seattle fans are the worst. Their football IQ is very low and they are unoriginal.,0,Twitter for iPhone,
Trevor Smith,3142701043,"Spokane, WA",2023-01-15 05:33:34,@ClipsPixelated @MySportsUpdate Seattle may need a QB in a few years 👀,0,Twitter for Android,
Zag Women's Tennis,1074444398,"Spokane, WA",2023-01-15 04:19:47,"Zags take the doubles point against Seattle! 

Results: 
Sosnowska/Broerman lost 2-6
Aitken/Sloan won 6-3
Oda/Hayes won 6-0",0,Twitter for iPhone,
shawn lutz,1357821420,"Spokane, WA",2023-01-15 03:46:11,"@kevinwildes Im pretty sure i heard you say ""1st half upset"" when you picked seattle... right???",0,Twitter Web App,
Leslie Bright,1479858272282628096,"Spokane, WA",2023-01-15 02:38:54,@gbellseattle Please stay in seattle all nfc west teams are wishing it,0,Twitter for iPhone,
Tyler Withrow,762489539436826624,"Spokane, WA",2023-01-15 02:05:26,@hawkblogger Classic…Seattle has the biggest fair weather fan base in the NFL. The number of 12’s who jumped ship a… https://t.co/IXAZVbjNl5,0,Twitter for iPhone,
Rage Wafflez 👑,476388962,"Spokane, WA",2023-01-15 01:50:45,@Sportsnet @SeattleKraken @NickAndrade @Steve_Dangle is this a hat pick for seattle or a dang it for Chicago?,0,Twitter for Android,
mklipstx,126415045,"Spokane, WA",2023-01-15 01:42:34,THANK YOU @SeattleKraken for helping cheer us #Seattle fans up!! Schmering the @NHLBlackhawks 6-1 in the 1st period… https://t.co/oo9VHOCxYY,0,Twitter for Android,
Andrew Quinn,1216449073,Slam Diego➡️Spokane,2023-01-15 01:37:13,Yo the Kraken are DEMOLISHING the Blackhawks rn. It’s 6-1 in the first period. Seattle going for it’s franchise record 8th win in a row.,1,Twitter for iPhone,
Elden_Bird,1464636643688783874,"Spokane, WA",2023-01-15 01:14:25,@timthetatman @Seahawks The Lions got choke artist Seattle in even as the refs handed you your game against the Rams. Hush now.,0,Twitter for iPhone,
David Watts,1047617913232879616,"Spokane, WA",2023-01-15 00:47:36,"Seattle exceeded expects this year, however, Pete is all about finishing, and the team and coaches completely colla… https://t.co/v0Fxg3SBF5",0,Twitter for Android,
Ric Meyer,122721074,"Spokane, WA",2023-01-15 00:38:15,"With the 5th in 2023 NFL Draft, the Seattle Seahawks select _________?",0,Twitter for Android,
4 News Now,7940822,"Spokane, Washington",2023-01-15 00:34:12,BREAKING: The Seattle Seahawks are officially eliminated from the playoffs following the team’s 41-23 loss against… https://t.co/kog7SLNTdQ,2,SocialNewsDesk,
David Watts,1047617913232879616,"Spokane, WA",2023-01-15 00:19:32,Seattle needed to draft interior offensive linemen yesterday. #Seahawks,0,Twitter for Android,
